POST-HOC DISCOVERY ANALYSIS — NOT A VALIDATED FILTER

CORE
  target   pair direction  trades   days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
midpoint GBPUSD      long                 Q4   977.0 309.0    0.380074     -0.119926      0.013557     0.215967   0.647902  0.136131          1.201722           -0.379184
midpoint GBPUSD      long                 Q5  1029.0 332.0   -0.715069     -1.215069     -0.032171     0.161322   0.682216  0.156463         -2.216282           -3.765981
midpoint GBPUSD     short                 Q1   917.0 280.0   -0.077587     -0.577587     -0.011067     0.237732   0.633588  0.128680         -0.254099           -1.891599
midpoint GBPUSD     short                 Q2   989.0 312.0    0.230737     -0.269263      0.059174     0.230536   0.617796  0.151668          0.731406           -0.853530
midpoint GBPUSD     short                 Q3   917.0 303.0   -0.159923     -0.659923     -0.005851     0.205016   0.642312  0.152672         -0.483992           -1.997193
midpoint GBPUSD     short                 Q4   982.0 314.0    0.590470      0.090470      0.072883     0.220978   0.629328  0.149695          1.846628            0.282934
midpoint GBPUSD     short                 Q5   931.0 323.0   -0.103368     -0.603368     -0.007530     0.165414   0.640172  0.194415         -0.297942           -1.739118
opposite EURUSD      long                 Q1   992.0 319.0   -0.615380     -1.115380     -0.027845     0.169355   0.686492  0.144153         -1.913658           -3.468516
opposite EURUSD      long                 Q2   967.0 315.0   -0.611233     -1.111233     -0.039265     0.147880   0.692865  0.159255         -1.876387           -3.411308
opposite EURUSD      long                 Q3   962.0 313.0    0.621545      0.121545      0.079477     0.166320   0.677755  0.155925          1.910306            0.373565
opposite EURUSD      long                 Q4   936.0 325.0    0.489726     -0.010274      0.053558     0.143162   0.685897  0.170940          1.410411           -0.029589
opposite EURUSD      long                 Q5   906.0 315.0   -1.403594     -1.903594     -0.047882     0.083885   0.705298  0.210817         -4.037002           -5.475098
opposite EURUSD     short                 Q1   865.0 293.0   -0.001022     -0.501022      0.020075     0.172254   0.673988  0.153757         -0.003018           -1.479127
opposite EURUSD     short                 Q2   889.0 299.0   -0.243655     -0.743655      0.017817     0.157480   0.680540  0.161980         -0.724447           -2.211069
opposite EURUSD     short                 Q3   895.0 312.0    1.842273      1.342273      0.180307     0.172067   0.646927  0.181006          5.284725            3.850430
opposite EURUSD     short                 Q4   920.0 318.0   -0.772671     -1.272671      0.030134     0.121739   0.681522  0.196739         -2.235400           -3.681941
opposite EURUSD     short                 Q5   951.0 343.0   -0.992143     -1.492143     -0.078064     0.078864   0.680336  0.240799         -2.750811           -4.137109
opposite GBPUSD      long                 Q1  1026.0 309.0   -0.777868     -1.277868     -0.063110     0.158869   0.697856  0.143275         -2.582823           -4.243018
opposite GBPUSD      long                 Q2   953.0 312.0   -0.206572     -0.706572     -0.025399     0.156348   0.696747  0.146905         -0.630971           -2.158215
opposite GBPUSD      long                 Q3  1037.0 320.0   -0.166103     -0.666103      0.022591     0.157184   0.700096  0.142719         -0.538277           -2.158589
opposite GBPUSD      long                 Q4   954.0 310.0    0.502995      0.002995      0.012135     0.132075   0.696017  0.171908          1.547928            0.009218
